X,sX,Y,sY,rXY
11.01856542,0.346656832,0.81149473,0.011096921,0.397047561
6.639715411,0.225225011,0.778222356,0.011162381,0.515910098
15.43796475,0.597419584,0.858069534,0.0143127,0.457375773
16.29692753,0.578993497,0.881472588,0.015315929,0.309522465
13.31925732,0.41994104,0.850250841,0.012933605,0.458233253
14.48911936,0.475562753,0.835868415,0.017795334,0.329138845
11.5877357,0.362703594,0.83918304,0.014010391,0.462693811
8.365567444,0.409222565,0.786914157,0.018175498,0.246024178
13.65254365,0.496335329,0.857824889,0.01422637,0.410569084
14.0364879,0.437997587,0.862062668,0.01981339,0.417654635
16.67669102,0.745670292,0.887616738,0.026247504,0.64025383
14.13685037,0.465828572,0.868203587,0.017741866,0.444783552
8.532501641,0.257181756,0.874165956,0.141147791,-0.029028348
6.48370183,0.295081878,0.784363197,0.00999586,0.419809354
5.631400055,0.279282444,0.771335382,0.008650716,0.488202996
13.06187919,0.418727611,0.854328968,0.018604987,0.462577476
16.73761604,0.567734974,0.872291385,0.018998609,0.47565663
15.7891273,0.520052614,0.870208492,0.01585004,0.390462286
11.08440316,0.414161251,0.831367556,0.01354945,0.263278431
9.936528238,0.476059542,0.813533394,0.014599299,0.388605775
18.40062086,0.715597699,0.89858593,0.024104227,0.550658411
13.19961906,0.468820264,0.839593252,0.013168581,0.191791406
9.67762818,0.504361283,0.809363148,0.028603363,0.192540765
17.01803224,0.783869421,0.896681737,0.024238332,0.460278311
4.576949865,0.208680693,0.767605716,0.009979521,0.466806954
7.462185832,0.306731419,0.79985411,0.016680105,0.052271738
2.604425395,0.13288639,0.744603306,0.007529674,0.283952634
3.739477198,0.198043375,0.756420079,0.007679883,0.427865195
10.54426699,0.34590679,0.800771936,0.016672069,0.515819174
5.750300846,0.191203761,0.788363247,0.012386437,0.401860225
5.820290934,0.272529983,0.781097621,0.00937298,0.483769111
3.027516297,0.09394982,0.746346956,0.009985746,0.499893982
13.54340347,0.519799758,0.852387164,0.018581844,0.510086363
13.19899508,0.480633952,0.839743495,0.014824577,0.333702518
12.42941435,0.45483318,0.847564444,0.01510018,0.109896818
12.28141163,0.553713619,0.859943865,0.018090986,0.487959873
13.57994976,0.744871851,0.853804559,0.022346827,0.524123192
14.01779666,0.569313972,0.853207323,0.015728752,0.454359322
16.54351089,0.506129403,0.889394273,0.014499738,0.440664673
12.56091157,0.511778432,0.832924128,0.016982566,0.376130653
13.84762077,0.519545687,0.870306083,0.016567972,0.240394497
13.05659895,0.574004478,0.826591993,0.019976706,0.656500862
10.13598147,0.601040857,0.81505664,0.015306365,0.506103491
5.823643669,0.448518274,0.769043432,0.012790697,0.542276414
14.73464689,0.487792568,0.859137963,0.025146586,0.501460333
14.20286697,0.546310383,0.851494546,0.017076504,0.454486278
17.37436641,0.54051638,0.869630245,0.021625715,0.186407255
11.77507282,0.443483773,0.834042959,0.017309546,0.537431487
14.403018,0.43257324,0.86152175,0.013921481,0.33977608
6.152217453,0.201162261,0.789814205,0.011026156,0.297160436
13.28744263,0.49544668,0.855272666,0.01599423,0.552278797
13.7134955,0.694887045,0.876768938,0.018793024,0.182573746
